Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Mother's qualification,Father's qualification,Father's occupation,Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 2nd sem (credited),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,target
1,3,1,10,1,2,130.0,0,2,3,130.0,0,0,1,0,0,20.0,0,6,12.2,12.4,0.5,1.79,0
0,11,1,7,1,14,129.0,2,2,2,155.3,1,0,1,0,0,27.0,5,13,12.9,12.4,0.5,1.79,0
0,7,1,11,1,0,141.0,22,27,10,139.8,1,0,1,0,0,18.0,0,8,14.935,9.4,-0.8,-3.12,2
0,0,3,1,1,0,125.0,22,26,9,115.2,1,0,1,0,0,18.0,0,0,12.2,7.6,2.6,0.32,1
0,0,2,11,1,0,125.0,12,13,9,114.9,0,0,1,0,0,18.0,0,12,12.22142857,16.2,0.3,-0.92,2
0,14,1,9,1,13,130.0,12,0,9,131.9,0,0,1,0,1,21.0,2,7,12.0,13.9,-0.3,0.79,2
0,7,3,1,1,0,133.0,0,26,7,126.0,1,0,1,1,1,19.0,0,0,12.2,10.8,1.4,1.74,1
0,7,1,4,1,0,127.0,0,0,4,130.2,1,0,1,1,0,19.0,0,8,10.0,10.8,1.4,1.74,1
0,13,1,4,1,0,116.0,0,0,3,120.9,0,0,1,1,0,24.0,0,6,12.2,12.7,3.7,-1.7,1
3,12,1,11,1,11,133.1,0,0,5,126.0,1,0,1,1,0,29.0,1,10,11.0,13.9,-0.3,0.79,0
0,0,3,1,1,0,139.0,12,13,3,128.2,1,0,1,1,1,19.0,0,0,12.2,10.8,1.4,1.74,2
0,14,1,3,1,13,130.0,12,26,9,130.0,1,0,1,1,0,23.0,0,7,12.42857143,8.9,1.4,3.51,2
0,0,3,8,1,0,125.0,0,27,7,120.1,0,1,1,1,0,19.0,0,10,10.75,16.2,0.3,-0.92,0
0,11,1,10,1,0,160.0,12,26,10,100.0,0,0,1,1,0,26.0,0,8,10.8,12.7,3.7,-1.7,1
0,7,1,8,1,0,148.0,22,26,5,134.0,0,0,1,1,0,18.0,0,5,12.2,7.6,2.6,0.32,1
0,7,1,11,1,0,150.0,21,13,4,130.8,0,0,1,1,0,24.0,0,8,13.75,13.9,-0.3,0.79,2
0,0,1,1,1,0,141.0,12,13,10,135.8,1,0,1,1,0,19.0,0,0,12.2,15.5,2.8,-4.06,0
0,7,4,10,1,0,118.0,22,26,7,111.7,1,0,1,1,0,18.0,0,12,12.0,12.4,0.5,1.79,0
0,0,2,14,1,0,142.0,22,27,9,132.9,1,0,1,1,0,18.0,0,11,12.33333333,10.8,1.4,1.74,2
0,7,3,8,1,0,120.0,12,13,7,115.5,1,1,1,1,0,18.0,0,11,10.85714286,10.8,1.4,1.74,0
0,8,4,10,1,0,106.0,12,26,7,106.0,1,0,1,1,1,21.0,0,11,11.0,9.4,-0.8,-3.12,0
0,7,4,14,1,0,121.0,0,13,8,120.3,1,1,1,1,1,19.0,0,6,13.33333333,8.9,1.4,3.51,2
0,7,4,11,1,0,150.0,22,26,9,130.8,0,0,1,1,1,22.0,0,9,15.05555556,16.2,0.3,-0.92,2
1,11,1,2,0,0,120.0,21,26,6,117.0,0,0,1,1,0,33.0,0,6,11.66666667,10.8,1.4,1.74,2
0,0,6,15,1,0,114.0,12,13,9,110.2,1,0,1,1,0,20.0,0,7,12.2,10.8,1.4,1.74,0
0,11,1,16,0,1,140.0,2,2,2,155.7,1,0,1,1,0,20.0,0,0,12.2,10.8,1.4,1.74,0
0,11,1,3,1,3,160.0,2,2,2,126.1,0,1,1,1,0,24.0,7,14,13.3,12.4,0.5,1.79,0
0,7,1,10,1,0,120.0,12,13,4,125.5,0,0,1,1,0,18.0,0,8,11.33333333,12.7,3.7,-1.7,1
1,11,1,2,0,0,130.0,21,26,6,110.0,1,0,1,0,0,33.0,0,11,11.0,9.4,-0.8,-3.12,2
0,12,1,11,1,0,160.0,21,27,7,126.1,1,0,1,0,1,22.0,0,8,13.08,10.8,1.4,1.74,2
0,11,1,13,1,0,120.0,0,13,5,100.0,0,0,1,0,1,25.0,0,7,11.6,9.4,-0.8,-3.12,2
0,7,1,4,1,0,124.0,12,27,0,117.6,1,0,1,1,0,20.0,0,6,11.2,7.6,2.6,0.32,2
0,0,6,8,1,0,143.0,22,26,9,128.7,1,0,1,1,0,23.0,0,5,13.8,11.1,0.6,2.02,1
0,13,2,6,1,0,115.0,22,13,6,112.2,1,1,1,1,0,18.0,0,9,12.2,15.5,2.8,-4.06,1
0,11,1,11,1,0,133.1,0,0,10,100.8,0,0,1,1,0,24.0,0,7,12.2,13.9,-0.3,0.79,0
0,7,2,14,1,0,133.1,12,0,9,105.0,1,0,0,0,0,21.0,0,6,13.5,8.9,1.4,3.51,2
0,5,1,7,1,0,133.1,0,0,4,100.0,0,0,1,0,0,26.0,0,6,12.2,8.9,1.4,3.51,0
1,11,1,15,1,7,133.1,21,23,0,115.5,0,0,1,0,0,20.0,0,14,12.2,7.6,2.6,0.32,0
1,11,1,2,0,0,133.1,21,13,9,114.0,0,0,1,0,0,20.0,0,7,12.33333333,12.7,3.7,-1.7,2
0,5,1,6,1,0,130.0,22,2,2,137.0,1,0,1,1,0,19.0,0,11,13.25,13.9,-0.3,0.79,1
0,0,5,14,1,0,135.0,21,0,5,124.9,1,0,1,0,0,18.0,0,6,13.33333333,8.9,1.4,3.51,2
0,0,5,11,1,0,132.0,21,26,7,120.3,1,0,1,0,1,18.0,0,9,14.47777778,12.4,0.5,1.79,2
0,0,1,5,1,0,135.0,0,1,1,134.3,1,0,1,0,0,19.0,0,7,13.8,12.7,3.7,-1.7,1
0,0,4,11,1,0,115.0,2,2,2,111.5,1,1,0,0,0,19.0,0,7,12.2,13.9,-0.3,0.79,0
0,16,1,5,1,15,130.0,22,27,9,128.8,0,0,1,0,0,21.0,4,14,13.4,8.9,1.4,3.51,0
0,0,4,1,1,0,133.1,0,0,10,110.0,1,0,1,0,0,20.0,0,0,12.2,16.2,0.3,-0.92,2
1,11,1,2,0,0,130.0,21,26,5,113.5,1,0,1,0,0,20.0,0,0,12.2,9.4,-0.8,-3.12,0
3,11,1,3,1,8,133.1,21,26,6,160.0,0,0,1,0,0,20.0,10,14,14.23076923,15.5,2.8,-4.06,2
0,8,1,15,1,0,123.0,12,13,7,117.4,1,0,1,0,0,19.0,0,0,12.2,11.1,0.6,2.02,0
0,15,1,4,1,0,130.0,2,0,8,122.2,0,1,1,0,0,20.0,5,11,12.27272727,11.1,0.6,2.02,2
0,0,2,9,1,0,122.0,21,27,7,118.2,1,0,1,0,0,19.0,0,0,12.2,16.2,0.3,-0.92,0
0,0,1,5,1,0,113.0,0,0,4,106.7,1,0,1,0,0,20.0,0,17,13.25,15.5,2.8,-4.06,0
0,0,5,11,1,0,111.0,2,3,3,108.2,1,0,1,0,0,20.0,0,10,12.3,12.4,0.5,1.79,0
0,7,2,15,1,0,133.1,12,0,3,107.0,1,0,1,0,0,20.0,0,10,13.0,16.2,0.3,-0.92,1
0,0,1,9,1,0,142.0,21,26,7,136.1,1,0,1,0,0,18.0,0,6,15.0,13.9,-0.3,0.79,2
0,7,2,8,1,0,123.0,0,27,7,115.3,1,0,1,0,1,18.0,0,11,11.0,8.9,1.4,3.51,1
0,0,1,5,1,0,131.0,12,13,9,139.8,1,0,1,0,0,19.0,0,5,12.8,10.8,1.4,1.74,2
0,0,3,14,1,0,158.0,0,27,7,157.0,1,0,1,0,0,18.0,0,7,12.57142857,10.8,1.4,1.74,2
0,7,2,11,1,0,122.0,21,26,9,131.0,1,0,1,0,0,18.0,0,7,12.51666667,7.6,2.6,0.32,0
0,13,1,11,1,0,130.0,22,27,5,100.0,0,0,1,0,0,20.0,0,7,13.0,13.9,-0.3,0.79,1
0,7,1,9,1,0,154.0,12,26,7,140.4,1,0,1,0,1,20.0,0,12,10.75,7.6,2.6,0.32,1
0,7,1,8,1,0,120.0,12,13,3,113.4,0,0,1,0,0,20.0,0,10,10.66666667,12.4,0.5,1.79,1
0,0,2,5,1,0,140.0,21,27,7,137.0,0,0,1,0,0,18.0,0,6,11.4,9.4,-0.8,-3.12,2
0,0,1,8,1,0,127.0,1,13,5,121.8,0,0,1,0,0,18.0,0,5,14.0,11.1,0.6,2.02,2
0,7,1,10,1,0,133.1,0,0,5,131.0,1,0,1,0,0,21.0,0,12,11.0,9.4,-0.8,-3.12,0
0,0,2,8,1,0,120.0,12,13,7,118.6,1,0,1,0,0,19.0,0,9,11.25,16.2,0.3,-0.92,2
0,0,1,1,1,0,137.0,2,13,9,122.3,0,0,1,0,0,19.0,0,0,12.2,10.8,1.4,1.74,0
0,0,1,13,1,0,131.0,22,27,9,127.9,0,0,1,0,1,19.0,0,5,14.2,9.4,-0.8,-3.12,2
0,0,1,5,1,0,130.0,12,27,7,121.3,1,0,1,0,0,19.0,0,13,12.2,15.5,2.8,-4.06,2
0,7,6,12,1,0,122.0,0,0,5,117.1,1,0,1,0,0,19.0,0,0,12.2,13.9,-0.3,0.79,0
0,14,1,5,1,13,160.0,21,26,9,160.0,1,0,1,0,0,20.0,1,17,13.77777778,12.4,0.5,1.79,2
0,0,1,15,1,0,146.0,12,27,3,145.3,1,0,1,0,1,18.0,0,7,13.4,9.4,-0.8,-3.12,1
0,7,3,9,1,0,131.0,0,28,3,122.6,1,0,1,0,0,18.0,0,6,13.66666667,12.4,0.5,1.79,2
0,7,6,11,1,0,132.0,0,26,9,128.0,1,0,1,0,0,19.0,0,9,15.01111111,12.4,0.5,1.79,2
0,0,3,11,1,0,138.0,12,13,8,124.9,1,0,1,0,1,18.0,0,9,13.74285714,13.9,-0.3,0.79,0
0,7,2,4,1,0,130.0,21,26,9,123.7,1,0,1,0,0,18.0,0,6,13.0,7.6,2.6,0.32,2
0,0,4,8,1,0,126.0,0,13,8,120.1,1,0,1,0,0,19.0,0,5,14.6,8.9,1.4,3.51,2
0,7,6,11,1,0,148.0,0,13,3,131.7,1,0,1,0,0,19.0,0,7,12.2,13.9,-0.3,0.79,0
0,13,1,9,1,0,130.0,22,26,7,133.2,0,0,1,0,0,20.0,2,8,11.71428571,7.6,2.6,0.32,2
0,0,1,13,1,0,117.0,0,27,9,109.3,0,1,0,0,1,19.0,0,9,12.5,12.4,0.5,1.79,0
0,7,1,13,1,0,120.0,12,13,5,113.0,1,0,1,0,0,20.0,0,5,11.5,7.6,2.6,0.32,2
0,0,1,14,1,0,153.0,0,0,175,157.9,0,1,1,0,1,18.0,0,6,14.83333333,8.9,1.4,3.51,2
0,0,2,11,1,0,117.0,12,0,7,112.1,0,0,1,0,1,20.0,0,9,12.89285714,11.1,0.6,2.02,1
0,8,1,11,1,0,133.1,12,0,8,126.1,0,0,1,0,0,18.0,0,8,12.2,13.9,-0.3,0.79,2
0,0,5,11,1,0,129.0,21,26,9,128.8,1,0,1,0,0,19.0,0,7,12.66666667,7.6,2.6,0.32,2
0,0,6,14,1,0,116.0,12,0,4,110.1,1,0,1,0,1,19.0,0,10,12.0,12.4,0.5,1.79,2
0,15,1,8,1,0,133.1,2,0,3,99.7,1,1,0,0,0,22.0,0,7,12.2,8.9,1.4,3.51,1
0,0,3,9,1,0,135.0,0,9,10,121.0,1,0,1,0,1,19.0,0,6,11.5,12.4,0.5,1.79,2
0,0,3,11,1,0,141.0,12,13,7,131.7,1,0,1,0,1,19.0,0,11,12.33125,15.5,2.8,-4.06,2
0,7,5,15,1,0,132.0,21,27,6,119.1,1,0,1,0,1,19.0,0,9,10.8,9.4,-0.8,-3.12,2
0,0,4,10,1,0,132.0,9,13,9,124.7,1,0,1,0,0,19.0,0,10,12.2,7.6,2.6,0.32,0
0,7,1,10,1,0,113.0,0,26,10,117.2,1,0,1,0,0,20.0,0,12,11.66666667,7.6,2.6,0.32,0
0,0,1,8,1,0,134.0,2,13,10,128.8,0,0,1,0,0,18.0,0,9,14.16666667,13.9,-0.3,0.79,2
0,0,1,11,1,0,136.0,0,13,9,131.5,0,0,1,0,1,20.0,0,9,14.17857143,11.1,0.6,2.02,2
0,0,1,1,1,0,136.0,2,26,8,121.7,1,0,1,0,0,18.0,0,0,12.2,9.4,-0.8,-3.12,1
0,0,1,5,1,0,129.0,0,27,7,123.4,0,0,1,0,0,19.0,0,6,13.4,7.6,2.6,0.32,2
0,7,1,15,1,0,138.0,22,27,6,124.7,1,0,1,0,0,18.0,0,10,10.83333333,9.4,-0.8,-3.12,1
0,0,1,15,1,0,137.0,21,26,9,132.8,1,0,1,0,0,18.0,0,8,11.8,7.6,2.6,0.32,2
0,13,1,15,1,0,115.0,2,26,5,108.7,1,0,1,0,0,21.0,0,12,10.0,9.4,-0.8,-3.12,0
0,0,1,15,1,0,129.0,22,26,6,138.1,0,0,1,0,0,19.0,0,10,11.5,7.6,2.6,0.32,0
0,0,1,8,1,0,131.0,22,27,9,126.5,0,0,1,0,1,18.0,0,5,11.8,12.4,0.5,1.79,2
0,7,2,9,1,0,133.0,0,26,9,127.4,1,0,1,0,1,18.0,0,7,11.85714286,12.7,3.7,-1.7,2
0,0,3,9,1,0,125.0,12,0,10,123.6,1,0,1,0,0,20.0,0,9,11.83333333,9.4,-0.8,-3.12,2
0,11,1,2,0,0,120.0,0,13,8,122.0,0,0,1,0,1,24.0,0,9,12.6,11.1,0.6,2.02,2
0,0,1,13,1,0,128.0,12,0,1,118.2,0,0,1,0,0,19.0,0,9,13.0,10.8,1.4,1.74,0
0,0,1,11,1,0,127.0,12,26,7,123.9,1,0,1,0,1,18.0,0,12,12.76111111,15.5,2.8,-4.06,2
0,0,2,11,1,0,134.0,12,13,9,125.8,1,0,1,0,0,18.0,0,8,15.355,15.5,2.8,-4.06,2
0,7,5,15,1,0,132.0,9,9,4,123.3,1,0,1,0,0,21.0,0,10,11.0,10.8,1.4,1.74,0
0,7,2,13,1,0,124.0,0,13,4,124.4,0,0,1,0,0,19.0,0,5,14.2,7.6,2.6,0.32,2
0,7,1,14,1,0,133.1,12,26,7,126.0,0,0,1,0,1,19.0,0,7,13.0,15.5,2.8,-4.06,2
2,11,1,3,1,0,133.1,0,26,6,126.1,0,1,1,0,0,20.0,0,0,12.2,8.9,1.4,3.51,1
0,7,3,9,1,0,125.0,12,13,8,121.5,0,0,1,0,0,19.0,0,12,11.0,13.9,-0.3,0.79,2
0,11,1,11,1,2,130.0,1,1,1,130.0,0,0,1,0,0,29.0,1,8,14.25714286,12.7,3.7,-1.7,2
0,13,1,9,1,0,125.0,12,13,8,117.0,1,0,1,0,0,21.0,0,12,11.33333333,16.2,0.3,-0.92,0
0,11,1,5,1,0,130.0,21,13,7,130.0,1,0,1,0,0,28.0,0,11,10.5,12.7,3.7,-1.7,1
0,7,2,12,1,0,133.1,21,26,10,108.0,0,0,1,0,0,20.0,0,8,13.5625,15.5,2.8,-4.06,2
0,7,1,11,1,0,131.0,1,27,5,132.3,1,0,1,0,0,19.0,0,7,11.68333333,7.6,2.6,0.32,2
0,12,1,2,0,0,150.0,12,1,6,148.0,0,0,1,0,0,26.0,0,8,12.0,9.4,-0.8,-3.12,2
0,7,2,10,1,0,125.0,21,26,8,122.6,1,1,0,0,0,20.0,0,6,13.16666667,11.1,0.6,2.02,0
0,0,1,13,1,0,131.0,21,26,9,123.0,1,0,1,0,1,18.0,0,6,13.5,7.6,2.6,0.32,1
0,11,1,15,1,0,130.0,21,13,5,102.5,0,0,1,0,0,27.0,0,10,12.0,7.6,2.6,0.32,2
0,0,2,11,1,0,123.0,18,23,90,113.3,1,0,1,0,0,20.0,0,8,11.95,7.6,2.6,0.32,0
0,0,5,15,1,0,141.0,21,13,5,133.0,1,0,1,0,0,18.0,0,12,10.4,9.4,-0.8,-3.12,0
0,3,1,11,1,2,140.0,0,0,5,140.0,0,0,1,0,0,33.0,3,10,14.58333333,16.2,0.3,-0.92,0
0,13,1,15,1,0,140.0,2,0,3,128.3,1,0,1,0,0,20.0,13,19,12.78947368,12.4,0.5,1.79,2
0,14,1,16,0,13,140.0,21,13,8,140.0,0,0,1,0,1,26.0,2,7,13.16666667,9.4,-0.8,-3.12,1
0,11,1,14,1,11,133.1,12,13,4,104.0,0,1,0,0,0,27.0,0,6,12.2,11.1,0.6,2.02,0
0,8,3,4,1,0,131.0,0,26,5,122.3,1,0,0,0,0,19.0,0,6,12.2,15.5,2.8,-4.06,0
0,7,2,10,1,0,143.0,0,13,6,135.0,0,0,1,0,0,20.0,0,0,12.2,11.1,0.6,2.02,0
0,8,2,8,1,0,132.0,2,2,7,119.1,1,1,0,0,0,20.0,0,9,10.57142857,10.8,1.4,1.74,0
0,13,1,9,1,0,143.0,0,26,9,126.6,0,1,0,0,0,21.0,0,12,10.0,9.4,-0.8,-3.12,1
0,7,3,11,1,0,141.0,22,0,4,129.0,1,0,1,0,1,18.0,0,7,13.05,7.6,2.6,0.32,2
0,11,1,5,1,0,133.1,0,13,9,126.1,1,0,1,0,0,24.0,0,6,12.2,8.9,1.4,3.51,0
0,7,4,4,1,0,148.0,0,2,1,126.1,1,0,1,0,0,20.0,0,6,12.0,16.2,0.3,-0.92,2
0,0,1,10,1,0,125.0,12,27,8,121.5,0,0,1,0,1,21.0,0,6,12.5,13.9,-0.3,0.79,2
0,0,1,2,0,0,120.0,0,26,3,122.8,0,0,1,0,0,23.0,0,12,10.0,9.4,-0.8,-3.12,1
0,11,1,8,1,0,140.0,9,2,3,118.0,1,0,1,0,0,24.0,0,5,12.2,7.6,2.6,0.32,0
0,15,1,15,1,0,139.0,0,0,10,134.0,0,0,1,0,0,21.0,0,0,12.2,12.4,0.5,1.79,0
0,0,4,11,1,0,142.0,22,27,8,129.8,1,0,1,0,0,18.0,0,8,12.24285714,12.7,3.7,-1.7,2
0,11,1,16,0,14,130.0,12,0,4,152.0,1,0,1,0,0,27.0,0,0,12.2,8.9,1.4,3.51,0
0,8,6,11,1,0,126.0,21,26,5,122.8,1,0,1,0,0,18.0,0,8,12.93375,9.4,-0.8,-3.12,2
0,3,1,6,1,2,150.0,2,1,2,150.0,0,0,1,0,0,20.0,0,0,12.2,13.9,-0.3,0.79,0
0,0,1,15,1,0,130.0,12,13,8,131.8,0,0,1,0,0,18.0,0,8,14.42857143,11.1,0.6,2.02,2
0,11,1,11,1,0,120.0,0,2,121,105.9,0,0,1,0,0,20.0,0,3,11.33333333,11.1,0.6,2.02,1
0,0,1,5,1,0,138.0,0,0,7,132.1,1,0,1,0,0,19.0,0,13,14.33333333,10.8,1.4,1.74,2
0,0,4,9,1,0,127.0,12,13,0,127.4,1,0,1,0,0,20.0,0,6,11.33333333,7.6,2.6,0.32,2
0,0,4,11,1,0,140.0,12,13,7,129.5,1,0,1,0,0,18.0,0,8,12.32428571,10.8,1.4,1.74,2
0,14,1,9,1,13,130.0,22,27,10,126.7,0,1,1,0,0,21.0,2,7,11.71428571,13.9,-0.3,0.79,2
0,7,2,9,1,0,128.0,12,26,8,116.5,0,0,1,0,1,18.0,0,11,11.25,16.2,0.3,-0.92,2
0,0,1,9,1,0,132.0,18,23,0,119.1,1,0,1,0,0,18.0,0,9,10.75,7.6,2.6,0.32,2
0,0,2,11,1,0,149.0,12,27,9,126.5,1,0,1,0,0,18.0,0,8,12.91428571,12.7,3.7,-1.7,2
0,0,4,14,1,0,155.0,2,13,4,149.8,1,0,1,0,1,18.0,0,6,14.16666667,16.2,0.3,-0.92,2
0,0,1,5,1,0,120.0,12,0,7,115.1,1,0,1,0,0,19.0,0,9,13.4,13.9,-0.3,0.79,2
0,11,1,10,1,11,133.1,2,13,3,124.5,0,0,1,0,1,20.0,0,6,12.8,16.2,0.3,-0.92,0
0,0,2,11,1,0,131.0,22,0,4,128.3,1,0,1,0,1,18.0,0,8,12.64285714,12.7,3.7,-1.7,2
0,0,1,11,1,0,149.0,21,26,9,136.0,0,0,1,0,1,18.0,0,7,12.91666667,7.6,2.6,0.32,2
0,13,1,7,1,0,140.0,0,2,2,140.0,1,0,1,0,1,20.0,0,8,15.85714286,13.9,-0.3,0.79,2
0,11,1,16,0,0,133.1,21,26,9,126.3,0,0,1,0,1,26.0,0,8,12.2,16.2,0.3,-0.92,0
0,13,1,14,1,0,122.0,0,0,5,126.9,0,0,1,0,0,21.0,0,7,12.0,7.6,2.6,0.32,2
